simple_name,full_name,title,lore,blurb,key_id,ally_tips,enemy_tips,resource,tags,attack_rating,defense_rating,difficulty_rating,magic_rating,passive_name,passive_description,hp,hpperlevel,mp,mpperlevel,movespeed,armor,armorperlevel,spellblock,spellblockperlevel,attackrange,hpregen,hpregenperlevel,mpregen,mpregenperlevel,crit,critperlevel,attackdamage,attackdamageperlevel,attackspeedperlevel,attackspeed
masteryi,Master Yi,the Wuju Bladesman,"Master Yi has tempered his body and sharpened his mind, so that thought and action have become almost as one. Though he chooses to enter into violence only as a last resort, the grace and speed of his blade ensures resolution is always swift. As one of the last living practitioners of the Ionian art of Wuju, Yi has devoted his life to continuing the legacy of his people—scrutinizing potential new disciples with the Seven Lenses of Insight to identify the most worthy among them.","Master Yi has tempered his body and sharpened his mind, so that thought and action have become almost as one. Though he chooses to enter into violence only as a last resort, the grace and speed of his blade ensures resolution is always swift. As one of...",11,"If you're in a lane against ranged players, leveling up Meditate can allow you to stay in the lane longer and gain levels faster than they will._Wuju Style is very strong early for last hitting minions._Try using Alpha Strike on a minion in front of an enemy champion so you are placed at a safe distance at the end of the spell.","Meditate is an effective method of healing damage over time, but Master Yi is susceptible to coordinated team ganks early in the game._If Master Yi tries to farm with Alpha Strike, hit him a few times so he has to use mana with Meditate to heal._Although Master Yi cannot be slowed while using Highlander, other disables can stop him in his tracks.",Mana,Assassin_Fighter,10,4,4,2,Double Strike,"Every few consecutive basic attack, Master Yi strikes twice.",599.0,92,251.0,42.0,355,33,3.0,32.0,1.25,125,7.5,0.65,7.26,0.45,0,0,66.0,3.0,2.0,0.679
missfortune,Miss Fortune,the Bounty Hunter,"A Bilgewater captain famed for her looks but feared for her ruthlessness, Sarah Fortune paints a stark figure among the hardened criminals of the port city. As a child, she witnessed the reaver king Gangplank murder her family—an act she brutally avenged years later, blowing up his flagship while he was still aboard. Those who underestimate her will face a beguiling and unpredictable opponent… and, likely, a bullet or two in their guts.","A Bilgewater captain famed for her looks but feared for her ruthlessness, Sarah Fortune paints a stark figure among the hardened criminals of the port city. As a child, she witnessed the reaver king Gangplank murder her family—an act she brutally...",21,Miss Fortune ramps up speed if she hasn't recently taken damage. Avoid getting hit to move very fast._Use Double Up on the furthest enemy minion if enemy champions are hiding in back; it will bounce to them for lots of damage._Make sure to utilize Love Tap while Strut is on cooldown to maximize the active's availability.,Miss Fortune's speed boost is removed if she is damaged by an enemy._Miss Fortune is easy to kill if you can reach her; target her first in team fights.,Mana,Marksman,8,2,1,5,Love Tap,Miss Fortune deals bonus physical damage whenever she basic attacks a new target.,570.0,93,300.0,35.0,325,28,3.0,30.0,0.5,550,3.75,0.65,8.04,0.65,0,0,52.0,2.7,3.0,0.656
wukong,Wukong,the Monkey King,"Wukong is a vastayan trickster who uses his strength, agility, and intelligence to confuse his opponents and gain the upper hand. After finding a lifelong friend in the warrior known as Master Yi, Wukong became the last student of the ancient martial art known as Wuju. Armed with an enchanted staff, Wukong seeks to prevent Ionia from falling to ruin.","Wukong is a vastayan trickster who uses his strength, agility, and intelligence to confuse his opponents and gain the upper hand. After finding a lifelong friend in the warrior known as Master Yi, Wukong became the last student of the ancient martial...",62,Decoy and Nimbus Strike work well together to quickly strike your enemy and get out before they can retaliate._Try using Decoy near brush to make an enemy overreact to your movement.,Wukong will often use Decoy after Nimbus Strike. Try delaying your abilities by a short amount of time to ensure that you're hitting the real Wukong._Wukong becomes tougher to kill when surrounded by his enemies. Try to isolate him to gain an advantage.,Mana,Fighter_Tank,8,5,3,2,Stone Skin,Wukong gains stacking armor and max health regeneration while fighting champions and monsters.,540.0,85,300.0,65.0,345,31,3.5,28.0,1.25,175,2.5,0.65,8.0,0.65,0,0,68.0,3.5,3.0,0.711
mordekaiser,Mordekaiser,the Iron Revenant,"Twice slain and thrice born, Mordekaiser is a brutal warlord from a foregone epoch who uses his necromantic sorcery to bind souls into an eternity of servitude. Few now remain who remember his earlier conquests, or know the true extent of his powers—but there are some ancient souls that do, and they fear the day when he may return to claim dominion over both the living and the dead.","Twice slain and thrice born, Mordekaiser is a brutal warlord from a foregone epoch who uses his necromantic sorcery to bind souls into an eternity of servitude. Few now remain who remember his earlier conquests, or know the true extent of his powers—but...",82,Offense is your defense. Keep fighting to build up larger Indestructible shields._Hitting multiple champions with the same ability can help quickly activate Darkness Rise._Use Realm of Death on a low health enemy to guarantee the kill and keep their stats for the rest of a teamfight.,"Mordekaiser builds up a powerful damage aura when fighting champions, so keep your distance._Damage he deals can be converted into a large shield, and consumed for health_Realm of Death will cut you off from your teammates completely. Try to save mobility spells to escape Mordekaiser once inside",Shield,Fighter,4,6,4,7,Darkness Rise,Mordekaiser gains a powerful damage aura and Move Speed after landing 3 attacks or spells against champions or monsters.,575.0,90,100.0,0.0,335,37,3.0,32.0,1.25,175,5.0,0.75,0.0,0.0,0,0,61.0,4.0,1.0,0.625
morgana,Morgana,the Fallen,"Conflicted between her celestial and mortal natures, Morgana bound her wings to embrace humanity, and inflicts her pain and bitterness upon the dishonest and the corrupt. She rejects laws and traditions she believes are unjust, and fights for truth from the shadows of Demacia—even as others seek to repress it—by casting shields and chains of dark fire. More than anything else, Morgana truly believes that even the banished and outcast may one day rise again.","Conflicted between her celestial and mortal natures, Morgana bound her wings to embrace humanity, and inflicts her pain and bitterness upon the dishonest and the corrupt. She rejects laws and traditions she believes are unjust, and fights for truth from...",25,Shrewd use of Black Shield can determine the outcome of team fights._Items that provide survivability allow Morgana to become extremely difficult to kill in conjunction with Black Shield and Soul Shackles._Tormented Shadow is an excellent farming tool if you're by yourself in a lane.,"Tormented Shadow deals tons of damage to units missing large amounts of Health. When low on Health, be wary of Morgana's attempts to trap you within its reach._Morgana often needs to land Dark Binding to setup her other attacks. Use your minions as shields against Dark Binding._Black Shield makes Morgana immune to disabling effects, but can be broken with magic damage.",Mana,Mage_Support,1,6,1,8,Soul Siphon,"Morgana drains spirit from her enemies, healing as she deals damage to champions, large minions, and medium and larger jungler monsters.",560.0,90,340.0,60.0,335,25,3.8,30.0,0.5,450,5.5,0.4,11.0,0.4,0,0,56.0,3.5,1.53,0.625
nami,Nami,the Tidecaller,"A headstrong young vastaya of the seas, Nami was the first of the Marai tribe to leave the waves and venture onto dry land, when their ancient accord with the Targonians was broken. With no other option, she took it upon herself to complete the sacred ritual that would ensure the safety of her people. Amidst the chaos of this new age, Nami faces an uncertain future with grit and determination, using her Tidecaller staff to summon the strength of the oceans themselves.","A headstrong young vastaya of the seas, Nami was the first of the Marai tribe to leave the waves and venture onto dry land, when their ancient accord with the Targonians was broken. With no other option, she took it upon herself to complete the sacred...",267,"Aqua Prison has a long cooldown, make sure to use it at the right moment._Using Ebb and Flow during an engagement with enemy champions will help sway the battle in your favor._Nami's ultimate can come in very handy for initiating on enemies who are far away.","Aqua Prison is a very powerful ability with a long cooldown, take advantage of the situation if Nami misses this ability._Tidal Wave has a very long range but travels slowly, be aware of when it is coming your way as you can move out of its path._Try to avoid fighting an opponent affected by Tidecaller's Blessing, it lasts a short duration so waiting it out can help you greatly.",Mana,Support_Mage,4,3,5,7,Surging Tides,When Nami's Abilities hit allied champions they gain Movement Speed for a short duration.,490.0,74,365.0,43.0,335,29,4.0,30.0,0.5,550,5.5,0.55,11.5,0.4,0,0,51.0,3.1,2.61,0.644
nasus,Nasus,the Curator of the Sands,"Nasus is an imposing, jackal-headed Ascended being from ancient Shurima, a heroic figure regarded as a demigod by the people of the desert. Fiercely intelligent, he was a guardian of knowledge and peerless strategist whose wisdom guided the ancient empire of Shurima to greatness for many centuries. After the fall of the empire, he went into self-imposed exile, becoming little more than a legend. Now that the ancient city of Shurima has risen once more, he has returned, determined to ensure it never falls again.","Nasus is an imposing, jackal-headed Ascended being from ancient Shurima, a heroic figure regarded as a demigod by the people of the desert. Fiercely intelligent, he was a guardian of knowledge and peerless strategist whose wisdom guided the ancient...",75,"Paying attention to last hitting with Siphoning Strike will have a large impact at the end of a game._If you're solo, Spirit Fire is a great way to farm a lane. It can be bad if you're in a lane with 2 and you push too far. Find the right balance between Siphoning Strike last hits and AoE farming._If you have low defenses, people will focus you down even during your ultimate. Try buying some survivability items even in your DPS builds.","While transformed by his ultimate, Nasus is stronger than most champions in the League. Engage him only if you have a clear advantage._Max rank Wither is a very effective counter to Attack Damage characters, so try to avoid getting caught alone by it._Nasus is prone to being kited. Try not to engage him at full Health.",Mana,Fighter_Tank,7,5,6,6,Soul Eater,"Nasus drains his foe's spiritual energy, giving him bonus Life Steal.",561.0,90,326.0,62.0,350,34,3.5,32.0,1.25,125,9.0,0.9,7.44,0.5,0,0,67.0,3.5,3.48,0.638
nautilus,Nautilus,the Titan of the Depths,"A lonely legend as old as the first piers sunk in Bilgewater, the armored goliath known as Nautilus roams the dark waters off the coast of the Blue Flame Isles. Driven by a forgotten betrayal, he strikes without warning, swinging his enormous anchor to save the wretched, and drag the greedy to their doom. It is said he comes for those who forget to pay the “Bilgewater tithe”, pulling them down beneath the waves with him—an iron-clad reminder that none can escape the depths.","A lonely legend as old as the first piers sunk in Bilgewater, the armored goliath known as Nautilus roams the dark waters off the coast of the Blue Flame Isles. Driven by a forgotten betrayal, he strikes without warning, swinging his enormous anchor to...",111,"While ganking, consider aiming Dredge Line at nearby terrain and following it up with Riptide for a higher hit rate._Riptide has a delayed blast timing on activation - you can use this while running away or when enemies are incoming to serve as a deterrent.","If Nautilus uses Riptide right next to you, hold in place until the ripple effect finishes before running. Running early will run straight into the secondary explosions, causing you to take additional damage and slow._While Nautilus is shielded, he is capable of dealing large amounts of area of effect damage with his basic attacks - consider taking down the shield if you have time.",Mana,Tank_Fighter,4,6,6,6,Staggering Blow,Nautilus' first Attack against a target deals increased physical damage and roots them briefly.,576.0,86,400.0,47.0,325,39,3.75,32.0,1.25,175,8.5,0.55,8.63,0.5,0,0,61.0,3.3,1.0,0.706
neeko,Neeko,the Curious Chameleon,"Hailing from a long lost tribe of vastaya, Neeko can blend into any crowd by borrowing the appearances of others, even absorbing something of their emotional state to tell friend from foe in an instant. No one is ever sure where—or who—Neeko might be, but those who intend to do her harm will soon witness her true colors revealed, and feel the full power of her primordial spirit magic unleashed upon them.","Hailing from a long lost tribe of vastaya, Neeko can blend into any crowd by borrowing the appearances of others, even absorbing something of their emotional state to tell friend from foe in an instant. No one is ever sure where—or who—Neeko might be...",518,"You can set her passive to use hotkeys in the options menu. The default is Shift+F1~F5_Try to use Inherent Glamour sparingly, ineffective uses will put enemies on the alert.",Standing behind minions against Neeko is very dangerous as Tangle-Barbs become stronger._Pop Blossom's warning visuals are invisible if Neeko is disguised.,Mana,Mage_Support,1,1,5,9,Inherent Glamour,Neeko can look like an ally champion. Taking damage from enemy Champions or casting damaging spells breaks the disguise.,540.0,90,450.0,30.0,340,21,4.0,30.0,0.5,550,7.5,0.75,7.0,0.7,0,0,48.0,2.5,3.5,0.625
nidalee,Nidalee,the Bestial Huntress,"Raised in the deepest jungle, Nidalee is a master tracker who can shapeshift into a ferocious cougar at will. Neither wholly woman nor beast, she viciously defends her territory from any and all trespassers, with carefully placed traps and deft spear throws. She cripples her quarry before pouncing on them in feline form—the lucky few who survive tell tales of a wild woman with razor-sharp instincts, and even sharper claws...","Raised in the deepest jungle, Nidalee is a master tracker who can shapeshift into a ferocious cougar at will. Neither wholly woman nor beast, she viciously defends her territory from any and all trespassers, with carefully placed traps and deft spear...",76,"Use brush to your advantage! Moving in and out of brush can heavily alter your effectiveness in battle._Start team fights by harassing with your Javelin Toss, and then switch to cougar form to chase down Hunted targets._Bushwhack traps deal damage based on their victim's current Health. Set them up in your team's backline before fights break out during sieges to help your team deal damage to the enemy frontline.","Nidalee's Hunt debuff is only applied with Javelin Toss and Bushwhack. Avoiding being hit by these abilities will impair her ability to deal follow-up damage._Nidalee's Javelin Toss deals more damage the farther she is. If she is far away, it's imperative to dodge it._Nidalee's Takedown deals extreme damage to Hunted targets, but she has to get close to use it. Save your crowd control or defensive abilities for when she goes in for the kill.",Mana,Assassin_Mage,5,4,8,7,Prowl,"Moving through brush increases Nidalee's Movement Speed by 10% for 2 seconds, increased to 30% toward visible enemy champions within 1400 range.<br><br>Hitting champions or monsters with Javelin Toss or Bushwhack triggers a <font color='#FFF673'>Hunt</font>, granting <font color='#ee91d7'>True Sight</font> of them for 4 seconds. During this time, Nidalee gains 10% Movement Speed (increased to 30% toward the <font color='#FFF673'>Hunted</font> target) and her Takedown and Pounce are enhanced against them.",570.0,95,295.0,45.0,335,28,3.5,30.0,0.5,525,6.0,0.6,6.0,0.8,0,0,58.0,3.5,3.22,0.638
nocturne,Nocturne,the Eternal Nightmare,"A demonic amalgamation drawn from the nightmares that haunt every sentient mind, the thing known as Nocturne has become a primordial force of pure evil. It is liquidly chaotic in aspect, a faceless shadow with cold eyes and armed with wicked-looking blades. After freeing itself from the spirit realm, Nocturne descended upon the waking world, to feed upon the kind of terror that can only thrive in true darkness.","A demonic amalgamation drawn from the nightmares that haunt every sentient mind, the thing known as Nocturne has become a primordial force of pure evil. It is liquidly chaotic in aspect, a faceless shadow with cold eyes and armed with wicked-looking...",56,Using Paranoia at a critical moment is well worth it even if you cannot use the dash._Duskbringer isn't only an offensive ability. It can be used to close distance out of combat or escape from certain death._Use Shroud of Darkness in tandem with Paranoia's dash. Your opponents may panic and waste a critical disable on your spell shield.,"Stay close to your allies when Paranoia is cast - there is strength in numbers!_Nocturne's Unspeakable Horror is broken with range, so try to save your movement abilities for when he casts it.",Mana,Assassin_Fighter,9,5,4,2,Umbra Blades,"Every few seconds, Nocturne's next attack strikes surrounding enemies for bonus physical damage and heals himself. <br><br>Nocturne's basic attacks reduce this cooldown.",585.0,85,275.0,35.0,345,38,3.5,32.0,0.75,125,7.0,0.75,7.0,0.45,0,0,62.0,3.1,2.7,0.721
nunu,Nunu & Willump,the Boy and His Yeti,"Once upon a time, there was a boy who wanted to prove he was a hero by slaying a fearsome monster—only to discover that the beast, a lonely and magical yeti, merely needed a friend. Bound together by ancient power and a shared love of snowballs, Nunu and Willump now ramble wildly across the Freljord, breathing life into imagined adventures. They hope that somewhere out there, they will find Nunu's mother. If they can save her, maybe they will be heroes after all…","Once upon a time, there was a boy who wanted to prove he was a hero by slaying a fearsome monster—only to discover that the beast, a lonely and magical yeti, merely needed a friend. Bound together by ancient power and a shared love of snowballs, Nunu...",20,Consume allows Nunu to stay in a lane against ranged opponents._You can choose to interrupt Absolute Zero early for partial damage if an opponent is about to run out of range._It's often beneficial to delay the casting of Absolute Zero until the initial round of disables are used. Try to hang back before rushing into a team fight.,"Interrupting the charge up on Absolute Zero will lower the amount of damage your team takes._Using Summoner Flash is a surefire way to escape Absolute Zero._Biggest Snowball Ever moves very fast but cannot turn as quickly, so don't try to escape it by running away in a straight line.  Instead, make sudden, sharp turns.",Mana,Tank_Fighter,4,6,4,7,Call of the Freljord,"Nunu increases the attack speed and movement speed of Willump and a nearby ally, and causes Willump's basic attacks to damage enemies around the target.",540.0,82,280.0,42.0,345,29,3.0,32.0,1.25,125,5.0,0.8,7.0,0.5,0,0,61.0,3.0,2.25,0.625
olaf,Olaf,the Berserker,"An unstoppable force of destruction, the axe-wielding Olaf wants nothing but to die in glorious combat. Hailing from the brutal Freljordian peninsula of Lokfar, he once received a prophecy foretelling his peaceful passing—a coward's fate, and a great insult among his people. Seeking death, and fueled by rage, he rampaged across the land, slaughtering scores of great warriors and legendary beasts in search of any opponent who could stop him. Now a brutal enforcer for the Winter's Claw, he seeks his end in the great wars to come.","An unstoppable force of destruction, the axe-wielding Olaf wants nothing but to die in glorious combat. Hailing from the brutal Freljordian peninsula of Lokfar, he once received a prophecy foretelling his peaceful passing—a coward's fate, and a great...",2,"Olaf can combine Berserker Rage, Vicious Strikes, and Ragnarok at low life to become deceptively strong._The bonus healing granted by Vicious Strikes amplifies your Life Steal from all sources as well as heals from allies.","Olaf becomes more dangerous the lower life he is. Save your disables to finish him off._Preventing Olaf from reaching his axe will minimize the amount of harassment he can cause in the laning phase._Olaf has reduced defenses from damage during Ragnarok, despite being immune to disables. If you can't escape from Olaf during Ragnarok, try focusing your damage on him with your teammates.",Mana,Fighter_Tank,9,5,3,3,Berserker Rage,Olaf gains Attack Speed based on his missing Health.,575.0,100,316.0,42.0,350,35,3.0,32.0,1.25,125,8.5,0.9,7.5,0.6,0,0,68.0,3.5,2.7,0.694
orianna,Orianna,the Lady of Clockwork,"Once a curious girl of flesh and blood, Orianna is now a technological marvel comprised entirely of clockwork. She became gravely ill after an accident in the lower districts of Zaun, and her failing body had to be replaced with exquisite artifice, piece by piece. Accompanied by an extraordinary brass sphere she built for companionship and protection, Orianna is now free to explore the wonders of Piltover, and beyond.","Once a curious girl of flesh and blood, Orianna is now a technological marvel comprised entirely of clockwork. She became gravely ill after an accident in the lower districts of Zaun, and her failing body had to be replaced with exquisite artifice...",61,Command: Protect can be used on yourself to return the Ball back to you quickly. Combine this with Command: Attack for a quick harassment._Command: Dissonance is a very powerful escape tool if Orianna has the Ball. The combination of speed and leaving a slowing obstacle can be quite powerful._Command: Shockwave can be used to drag enemies towards you or away from you if you position the Ball properly.,Orianna can only affect the area the Ball is around. Use this to your advantage._Watch out for Orianna's Ball returning to her due to leashing. This may cause some unexpected situations.,Mana,Mage_Support,4,3,7,9,Clockwork Windup,Orianna's Attacks deal additional magic damage. This damage increases the more Orianna Attacks the same target.,530.0,91,418.0,25.0,325,17,3.0,26.0,0.5,525,7.0,0.55,8.0,0.8,0,0,40.0,2.6,3.5,0.658
ornn,Ornn,The Fire below the Mountain,"Ornn is the Freljordian spirit of forging and craftsmanship. He works in the solitude of a massive smithy, hammered out from the lava caverns beneath the volcano Hearth-Home. There he stokes bubbling cauldrons of molten rock to purify ores and fashion items of unsurpassed quality. When other deities—especially Volibear—walk the earth and meddle in mortal affairs, Ornn arises to put these impetuous beings back in their place, either with his trusty hammer or the fiery power of the mountains themselves.","Ornn is the Freljordian spirit of forging and craftsmanship. He works in the solitude of a massive smithy, hammered out from the lava caverns beneath the volcano Hearth-Home. There he stokes bubbling cauldrons of molten rock to purify ores and fashion...",516,Learning build paths of items can help quickly select upgrades in lane._Volcanic Rupture can be used to set up zoning areas to threaten enemies._The order of your abilties matters! Try to optimize Brittle usage.,Try to stay away from walls. Ornn is much less strong if he cannot stun you._Attack Ornn to keep him from creating items in lane.,Mana,Tank_Fighter,5,9,5,3,Living Forge,"Ornn gains an additional bonus Armor and Magic Resistance from all sources.<br><br>Ornn can spend gold to forge non-consumable items anywhere.<br><br>Additionally, he can create masterwork items for himself and for his allies.",590.0,95,340.6,65.0,335,33,4.0,32.0,1.25,175,9.0,0.9,8.01,0.6,0,0,69.0,3.5,2.0,0.625
pantheon,Pantheon,the Unbreakable Spear,"Once an unwilling host to the Aspect of War, Atreus survived when the celestial power within him was slain, refusing to succumb to a blow that tore stars from the heavens. In time, he learned to embrace the power of his own mortality, and the stubborn resilience that goes along with it. Atreus now opposes the divine as Pantheon reborn, his unbreakable will fueling the fallen Aspect's weapons on the field of battle.","Once an unwilling host to the Aspect of War, Atreus survived when the celestial power within him was slain, refusing to succumb to a blow that tore stars from the heavens. In time, he learned to embrace the power of his own mortality, and the stubborn...",80,"Mortal Will activates after 5 spells or basic attacks - plan your way through fights to allow you to activate it more than once._Whittle the enemy down with Comet Spears before you jump in._If an enemy is going to get out of range of your Aegis Assault, you can recast the spell to immediately fire the shield slam.",Pantheon's Aegis Assault makes him invulnerable from the front. Get behind him or wait it out._Be careful near Pantheon if your health is low - a thrown Comet Spear executes low health enemies._Grand Starfall gives several seconds of warning before Pantheon arrives. Use this time to get out of the way or to form a plan to deal with him.,Mana,Fighter_Assassin,9,4,4,3,Mortal Will,"Every few spells or attacks, Pantheon's next spell is empowered.",580.0,95,317.12,31.0,345,40,3.75,28.0,1.25,175,9.0,0.65,7.36,0.45,0,0,64.0,3.3,2.95,0.644
poppy,Poppy,Keeper of the Hammer,"Runeterra has no shortage of valiant champions, but few are as tenacious as Poppy. Bearing the legendary hammer of Orlon, a weapon twice her size, this determined yordle has spent untold years searching in secret for the fabled “Hero of Demacia,” said to be its rightful wielder. Until then, she dutifully charges into battle, pushing back the kingdom's enemies with every whirling strike.","Runeterra has no shortage of valiant champions, but few are as tenacious as Poppy. Bearing the legendary hammer of Orlon, a weapon twice her size, this determined yordle has spent untold years searching in secret for the fabled “Hero of Demacia,” said...",78,"Iron Ambassador tends to land near walls, try to take advantage of this with Heroic Charge._Keeper's Verdict can be released immediately to send the enemy straight up, take advantage of this in duels.","Poppy can stop nearby enemies from dashing with Steadfast Presence._When Poppy starts to spin her hammer, she is charging Keeper's Verdict._You can step on Poppy's shield to deny it from her.",Mana,Tank_Fighter,6,7,6,2,Iron Ambassador,Poppy throws her buckler that bounces off the target. Poppy can pick it up to gain a temporary shield.,540.0,90,280.0,40.0,345,38,3.5,32.0,1.25,125,8.0,0.8,7.0,0.7,0,0,64.0,4.0,2.5,0.625
pyke,Pyke,the Bloodharbor Ripper,"A renowned harpooner from the slaughter docks of Bilgewater, Pyke should have met his death in the belly of a gigantic jaull-fish… and yet, he returned. Now, stalking the dank alleys and backways of his former hometown, he uses his new supernatural gifts to bring a swift and gruesome end to those who make their fortune by exploiting others—and a city that prides itself on hunting monsters now finds a monster hunting them.","A renowned harpooner from the slaughter docks of Bilgewater, Pyke should have met his death in the belly of a gigantic jaull-fish… and yet, he returned. Now, stalking the dank alleys and backways of his former hometown, he uses his new supernatural...",555,Pyke is very fragile so don't be afraid to temporarily run from a fight. You can regenerate a significant amount of health from Gift of the Drowned Ones when enemies can't see you._Hitting an enemy with the Hold version of Bone Skewer will always pull them the same distance. Use it in melee range to throw targets behind you._The Tap version of Bone Skewer is much faster and deals additional damage._A lot of your agressive spells are also your escapes. Make sure you always have a plan to get out of the fight.,"Pyke regenerates a significant amount of damage he has taken from enemy champions, but only when you can't see him!_When Pyke is hidden nearby in his Ghostwater Dive, sharks will circle underneath your feet._Try not to stand near low health allies. If Pyke executes them using Death From Below, you might be next on the list.",Mana,Support_Assassin,9,3,7,1,Gift of the Drowned Ones,"When Pyke is hidden from enemies, he regenerates damage that he has recently taken from champions. Pyke also cannot gain extra Maximum Health from any source, and instead gains Bonus AD.",600.0,90,415.0,50.0,330,45,3.5,32.0,1.25,150,7.0,0.5,8.0,1.0,0,0,62.0,2.0,2.5,0.667
qiyana,Qiyana,Empress of the Elements,"In the jungle city of Ixaocan, Qiyana plots her own ruthless path to the high seat of the Yun Tal. Last in line to succeed her parents, she faces those who stand in her way with brash confidence and unprecedented mastery over elemental magic. With the land itself obeying her every command, Qiyana sees herself as the greatest elementalist in the history of Ixaocan—and by that right, deserving of not only a city, but an empire.","In the jungle city of Ixaocan, Qiyana plots her own ruthless path to the high seat of the Yun Tal. Last in line to succeed her parents, she faces those who stand in her way with brash confidence and unprecedented mastery over elemental magic. With the...",246,,,Mana,Assassin_Fighter,0,2,8,4,Royal Privilege,Qiyana's first basic attack or ability against each enemy deals bonus damage.,520.0,110,320.0,50.0,335,28,3.5,32.0,1.25,150,7.5,0.9,8.0,0.7,0,0,66.0,3.1,2.1,0.688
quinn,Quinn,Demacia's Wings,"Quinn is an elite ranger-knight of Demacia, who undertakes dangerous missions deep in enemy territory. She and her legendary eagle, Valor, share an unbreakable bond, and their foes are often slain before they realize they are fighting not one, but two of the kingdom's greatest heroes. Nimble and acrobatic when required, Quinn takes aim with her crossbow while Valor marks their elusive targets from above, making them a deadly pair on the battlefield.","Quinn is an elite ranger-knight of Demacia, who undertakes dangerous missions deep in enemy territory. She and her legendary eagle, Valor, share an unbreakable bond, and their foes are often slain before they realize they are fighting not one, but two...",133,"Attacking a _Vulnerable_ target marked by Valor will put Harrier on cooldown. Quickly consuming Harrier marks will allow you to generate them faster._Vault is powerful but must be used with caution, as enemies can attack Quinn when she strikes them. Vault can sometimes be used to cross terrain if your back is to a wall._Use Behind Enemy Lines for traveling very long distances quickly, for farming minions around the map, or for chasing wounded targets.","After being marked, move away from Quinn so she can't take advantage of it._Keep tabs on Quinn's position. Behind Enemy Lines can enable Valor to cross the map very quickly and attack you by surprise._When Quinn is using Behind Enemy Lines, damaging her removes her movement speed bonus temporarily.",Mana,Marksman_Assassin,9,4,5,2,Harrier,"Valor, Quinn's Demacian eagle, periodically marks enemies as <font color='#FFF673'>Vulnerable</font>. Quinn's first basic attack against <font color='#FFF673'>Vulnerable</font> targets will deal bonus physical damage.",533.0,85,269.0,35.0,335,28,3.5,30.0,0.5,525,5.5,0.55,6.97,0.4,0,0,59.0,2.4,3.1,0.668
rakan,Rakan,The Charmer,"As mercurial as he is charming, Rakan is an infamous vastayan troublemaker and the greatest battle-dancer in Lhotlan tribal history. To the humans of the Ionian highlands, his name has long been synonymous with wild festivals, uncontrollable parties, and anarchic music. Few would suspect this energetic, traveling showman is also partner to the rebel Xayah, and is dedicated to her cause.","As mercurial as he is charming, Rakan is an infamous vastayan troublemaker and the greatest battle-dancer in Lhotlan tribal history. To the humans of the Ionian highlands, his name has long been synonymous with wild festivals, uncontrollable parties...",497,Rakan requires allies near him to make the most out of his tools._Rakan's dash speeds increase with his movement speed. Use the extra speed to surprise your enemies!_Danger is as fun as you let it be.,Rakan's movement abilities forecast their destination. Try to use this to your advantage._Champions with crowd control that can be applied quickly excel against Rakan._Catching Rakan with no allies around severely inhibits his mobility. Try to find him alone.,Mana,Support,2,4,5,8,Fey Feathers,Rakan periodically gains a shield.,540.0,85,315.0,50.0,335,32,3.9,32.0,1.25,300,5.0,0.5,8.75,0.5,0,0,62.0,3.5,3.0,0.635
rammus,Rammus,the Armordillo,"Idolized by many, dismissed by some, mystifying to all, the curious being Rammus is an enigma. Protected by a spiked shell, he inspires increasingly disparate theories on his origin wherever he goes—from demigod, to sacred oracle, to a mere beast transformed by magic. Whatever the truth may be, Rammus keeps his own counsel and stops for no one as he roams the Shuriman desert.","Idolized by many, dismissed by some, mystifying to all, the curious being Rammus is an enigma. Protected by a spiked shell, he inspires increasingly disparate theories on his origin wherever he goes—from demigod, to sacred oracle, to a mere beast...",33,"Powerball can be used as an effective escape mechanism._Using taunt on a champion by your tower can cause the tower to attack your enemy._Tremors and Defensive Ball Curl can be used late in the game to obliterate towers. If you're bogged down in a team fight, it is often valuable to break off and attack the buildings.","Pay particular attention to when his Defensive Ball Curl is off. Rammus has much lower stats than a normal tank when he's out of the stance._Rammus often stacks high Armor, leaving him especially vulnerable to caster damage while not in Defensive Ball Curl.",Mana,Tank_Fighter,4,10,5,5,Spiked Shell,"Rammus' basic attacks deal bonus magic damage, scaling with his Armor.",564.0,80,310.0,33.0,335,36,4.3,32.0,1.25,125,8.0,0.55,7.84,0.5,0,0,56.0,3.5,2.215,0.656
